drug1,drug2,drug3
2.5,3.2,3.1
22.6,24.175,24.2333333333333
10.7666666666667,10.25,9.33333333333333
22.5,23.55,29.25
45.8,42.125,31.7333333333333
240.9,228.675,306.633333333333
16.6,17.4333333333333,19.1
5.95,7.46666666666667,7.85
406.066666666667,397.85,363.933333333333
70.1333333333333,68.05,74.7
7.5,11.3,8.7
105.833333333333,92.95,106.366666666667
42.2333333333333,32.375,42.5333333333333
47.4666666666667,43.625,44.8666666666667
26.9333333333333,29.05,22.8
79.8,84.375,73.3666666666667
22.6333333333333,22.725,31.3666666666667
111.833333333333,113.05,122.533333333333
338.066666666667,310.6,317.4
3.6,6.6,8.6
30.3,25.275,30.7666666666667
5,10.9,9.1
147.933333333333,177.3,220.233333333333
49.9,39.95,43.95
54.9,61.65,55.6
105.833333333333,93.775,122.866666666667
28.3666666666667,28.1,27
397.033333333333,360.175,412.833333333333
54.7666666666667,56.975,88.3666666666667
10.4,12.7333333333333,9.9
19,19.3,15.6
14.4333333333333,16.025,15.7666666666667
1419.56666666667,1136,1340.33333333333
172.766666666667,179,159.133333333333
280.533333333333,259.25,266
7.1,7,6.2
284.533333333333,255.675,247.5
103.9,119.55,115.3
390.433333333333,397.55,379.566666666667
30,35.95,28.9
57.2333333333333,56.225,54.6
20.0666666666667,20.125,25.8666666666667
44,54.8,42.3666666666667
240.433333333333,215.375,204.166666666667
28.1,24.9,15.4
25.0333333333333,22.9,20.9
106.533333333333,104.7,100.7
5807.63333333333,5814.525,5571.36666666667
4.9,2.7,28.9
6.9,8.15,6.5
9.8,2.6,8.1
9.3,11.5,12.6
45.7,48.225,44.3
227.3,253.4,221
627.066666666667,590.5,569.133333333333
21.9333333333333,20.7,18.7
14,20.1,16.2
80.3,83.625,125.1
53.4666666666667,45.05,47.0333333333333
220.333333333333,188.675,180.433333333333
107.933333333333,122.975,106.066666666667
169.133333333333,162.675,151.966666666667
14.9,15.7,14.75
22.6333333333333,20.675,16.5666666666667
95.8666666666667,96.45,91.2666666666667
71.1333333333333,51.15,41.4
164.166666666667,159.875,149
190.25,187.1,208.65
7636,7157.225,6858.43333333333
7,10.1,11.1
30.4,31.4,28.8
27.6,28,28
304.4,261.6,245.166666666667
7.1,9.8,8.4
50.1333333333333,65.775,52.1333333333333
329.466666666667,308.75,308.533333333333
13.3,12.45,16.7666666666667
26.8666666666667,25.325,26.9666666666667
12.8,8,9.2
17.6,14.175,16.7333333333333
10.2,7.6,11.7
12.7,8,9.4
483.666666666667,402.8,360.4
2120.86666666667,1824.7,1605.1
64.6,81.125,67.7666666666667
34.7333333333333,28.35,31.2333333333333
10.45,9.3,6.4
16,13.2,12.9
6.6,10,8
420.166666666667,357.45,322.733333333333
43.5333333333333,52.425,30.5
40.2666666666667,27.85,35.6
113.433333333333,116.1,108.433333333333
161.2,193.975,279.6
29.4,27.625,26.9
15.8,21.8,16.5
316.8,301.45,269.433333333333
971.733333333333,1033.25,1198.26666666667
29.2,32.775,30.0333333333333
6.5,8.5,8.9
10.65,14.3333333333333,13.45
66.55,69.9666666666667,32
112.633333333333,103.075,75.6666666666667
7955.16666666667,7871,9359.66666666667
158.7,151.85,160.433333333333
120.633333333333,167.65,122.966666666667
43.2,31.9,25.7333333333333
17.15,15.15,12.75
39.65,35.8333333333333,47.4
37.6666666666667,42.825,47.6666666666667
68.1666666666667,50.55,64.1
57.3333333333333,57.575,56.2666666666667
16.7,8.5,10.4
9.6,7.1,12.1
1612.86666666667,1078.675,1277.76666666667
34.2,29.95,30.3666666666667
478.5,432.825,461.366666666667
56.5666666666667,46.45,61.0666666666667
10.7,9.2,8.5
99.4,97.55,100
28.7,32.4,37.3
9.6,12.1,12.6
18.8,12.1,11.4
165.866666666667,173.5,157.4
79.6666666666667,158.525,320.333333333333
39.6,39.8,41.8
141,137.65,126.466666666667
12.1,9.3,7.3
407.8,404.8,420.333333333333
18.7,21.5,18
85.6666666666667,79.325,112
346.9,350.35,307.1
114.233333333333,102.4,106.433333333333
52.2,53.275,52
77.9666666666667,93.725,100.366666666667
14.3,18.2,15.1
28.8333333333333,30.275,29.6333333333333
24.8,29.525,32
51.05,50.95,51.7
124.533333333333,136.875,150.4
559.2,564.5,554
431.533333333333,405.8,390.766666666667
28.0333333333333,25.775,27.7
137.7,126.275,139.333333333333
17,13.15,13
67.4,57.625,22.2333333333333
195.933333333333,185.95,180.366666666667
419.033333333333,393.825,426.166666666667
353.666666666667,337.25,337.966666666667
975.966666666667,967.325,726.7
7.2,9.9,9.1
48.55,46.25,48.4
135.5,178.3,135.566666666667
24,25.15,31.5666666666667
13.7,9.8,7.1
17511.4666666667,17877.775,16664.3333333333
146.933333333333,134.1,137.766666666667
11.95,11.2,13.35
87.9666666666667,88.2,92.7333333333333
162.066666666667,145.675,164.866666666667
13.5,15.45,14.5
2773.6,2669.85,2580.36666666667
71.3,78.95,72.15
66.5333333333333,68.725,48.1666666666667
83.4666666666667,76.725,83.5
96.2666666666667,108.7,66.8
120.733333333333,103.925,109.566666666667
13.6333333333333,14.475,14.0666666666667
52.8666666666667,45.875,47.3
12.4,14.3,12.6
12.7,18.7,13.2
24.5333333333333,24.925,17.9666666666667
33.5666666666667,46.875,44.0333333333333
23.7,17.8,14.1
153.533333333333,147.55,142.266666666667
39.4,33.2,43.1
61.5333333333333,64.125,54.7666666666667
15.3,9.96666666666667,10.1
104.766666666667,102.575,93.7333333333333
62.3,73.0333333333333,64.35
40.0666666666667,42.475,44.8666666666667
43.6333333333333,39.875,43
22.2,16.2,14.9
129.333333333333,140.15,122
37.9,32.55,37.5666666666667
24,18.85,21.65
31.75,35.6,48.55
30.8,26.9,31.1
719.533333333333,714.725,719.033333333333
74.7,71.975,68.6
24.4,21.3,28.65
19411.6666666667,19698.075,20735.7666666667
156.9,148.6,196.1
42.7,36.975,38.8333333333333
269.466666666667,271.5,268.933333333333
41.6333333333333,38.375,56.5333333333333
161.9,162.3,151.633333333333
88.0333333333333,66.2,79.2333333333333
16.4,22.15,16.15
17.05,14.45,14.45
18.6,17,34.5
166.5,149.875,162.233333333333
3407.66666666667,3212.2,3354.33333333333
83.4666666666667,84.05,79.9666666666667
13.1,13.4,17.8
94.2333333333333,110.225,89.7333333333333
55.3666666666667,59.275,46.3666666666667
54.8666666666667,55.75,55.7666666666667
76.2666666666667,59.575,75.3333333333333
43.05,35.05,30.5
407.6,431.125,416.733333333333
71.8666666666667,98.35,111.733333333333
67.9,65,68.3333333333333
58.9666666666667,63.2,58.9333333333333
19.65,20.6666666666667,17.95
14.8,14.75,16.3
28.9,30.6,25.2
303.866666666667,299.15,267.066666666667
51.5333333333333,45.5,53.0666666666667
150.666666666667,166.325,136.7
42.4,36.4,43.0333333333333
11.1,11.9,13.8
68,69.25,52.3
12,11.5,20.7
32.95,34.55,29.15
58.7666666666667,46.45,67.5333333333333
179.133333333333,179.35,156.666666666667
37.1666666666667,41.9,36.2666666666667
155.8,121.5,136.266666666667
47.3333333333333,42.2,45.1666666666667
500.033333333333,474.025,496.333333333333
350.3,329.725,396.6
29.0666666666667,35.325,30.4
78.9,69.45,71.5
12.6,10.8,15.1
22.0333333333333,26.175,24.2666666666667
245.133333333333,214.975,268.6
14.1,16.9,28.2
1091.33333333333,1020.625,1058.7
26.9333333333333,25.75,26.1666666666667
9.4,10.6,9.3
14.1,10.2,2.7
952.7,874.175,1104.36666666667
15.7,18.1,15.1
75.6,66.625,76.3666666666667
9.1,12.3,8.2
5117.43333333333,5087.975,5207.4
111.533333333333,121.9,103.233333333333
251.033333333333,242.1,230.1
18.5666666666667,17.55,18.9666666666667
56.9666666666667,48.55,56.9333333333333
9.9,8.9,10.2
43.5333333333333,57.075,44.4
187.033333333333,169.35,186.1
102.95,109.65,95.65
36.8666666666667,32.85,38.5333333333333
158.233333333333,168.325,173.9
85.2,78.125,71.7
120.6,138.175,114.5
