control1,control2,control3
25.4,26.1,22.9
186.966666666667,100.233333333333,192.7
85.0333333333333,81.2333333333333,85.4333333333333
188.65,129.15,192.8
225.633333333333,287.133333333333,256.3
1600.7,1378.33333333333,1549.56666666667
116.75,128.55,113.7
38.35,26.6,37.4
2364.36666666667,2335.8,2324.4
351.066666666667,398.4,375.933333333333
51.1,48.4,47.2
529.4,502.366666666667,512.233333333333
181.6,193.633333333333,177.833333333333
185.7,191.6,187.366666666667
114.066666666667,117.1,104.633333333333
301.633333333333,255.933333333333,283.833333333333
77.8333333333333,84.9333333333333,89.7333333333333
485.733333333333,482.9,457.133333333333
1290,1358.13333333333,1193.63333333333
16.9,33.7,25.4
102.6,103.733333333333,103.5
34,25,41.3
640.6,633.233333333333,659.033333333333
175.85,113.05,197.6
226.266666666667,227.1,233.166666666667
352.833333333333,352,343.833333333333
93.2333333333333,104.333333333333,96.4
1436.46666666667,1481.9,1558.6
191.033333333333,211.9,219.1
33.65,28.65,46.5
63.5,71.6,57.3
47.5,52.8666666666667,52.2333333333333
4371.23333333333,3040.5,4375.96666666667
541.066666666667,518.566666666667,541.766666666667
939.9,868.366666666667,890.166666666667
22.2,21.6,23.8
846.766666666667,850.4,1352.73333333333
358.4,293.233333333333,358.8
1183.46666666667,1196,1224.26666666667
100.8,94.15,91.4
167.966666666667,173.666666666667,175.666666666667
60.1,73.7,69.2333333333333
111.866666666667,115.433333333333,120.566666666667
642.8,667.3,629.2
79,73.5,67.1
71.6333333333333,66.5,58.8666666666667
316.3,283.966666666667,300.133333333333
16580.9666666667,16398.9333333333,16733.7333333333
17.7,5.75,13.1
19.8,24.1,20.7
22.8,21,23.5
31.6,31,55.6
125.266666666667,116.666666666667,121.4
647.5,631.9,580.4
1743.36666666667,1494.66666666667,1625.93333333333
53.4666666666667,71.4,53.9
43.7,52.9,38.4
179.433333333333,236.366666666667,259.166666666667
149,100.866666666667,134.033333333333
527.5,389.266666666667,543.766666666667
301.366666666667,310.1,293.433333333333
404.666666666667,431.966666666667,418.133333333333
44.7,36.75,37.55
52.5666666666667,48.1666666666667,39.6333333333333
259.233333333333,238.533333333333,228.366666666667
171.066666666667,117.166666666667,142.1
412.6,394.5,384.666666666667
453,478.45,551.3
16978.3666666667,12802,17622.7
31.6,24.7,21.9
70,74.4333333333333,76.1
71.3,65.3,67.9
637.766666666667,483.6,633.466666666667
23.6,16.5,20.6
125.2,130.866666666667,128.233333333333
784.066666666667,771.833333333333,714.266666666667
33.8333333333333,33.5333333333333,31.6333333333333
80.3666666666667,79.6666666666667,76.2666666666667
24.2,17.1,21.8
36.4666666666667,40.3666666666667,39.6
25.1,24.1,22.3
22.4,22.3,21.4
947.766666666667,811.033333333333,1160.33333333333
4275.63333333333,3606.4,4678.06666666667
146.4,143,138.533333333333
75.2333333333333,86.6333333333333,69.8333333333333
19.1,22.6,20.55
31.1,30.6,26.6
22.7,18.4,18.2
842.066666666667,640.6,849.133333333333
77.9,60.6333333333333,87.7333333333333
84.7666666666667,75.7,82.9666666666667
264.566666666667,266.7,271.1
290.466666666667,369.166666666667,370.266666666667
63.0666666666667,67.7666666666667,62.2
29.3,36.3,39.6
674.766666666667,480.633333333333,655.866666666667
2263.26666666667,1992.06666666667,2676.93333333333
58.3666666666667,65.4,77.5
20.2,18.3,18.1
26.95,21.15,28.85
107.45,122.3,214.5
218,199.866666666667,210.733333333333
16808.7,18205.2333333333,16907.5333333333
337.866666666667,323.833333333333,316.3
232.233333333333,253.866666666667,266.033333333333
79.4,56.1,73.0666666666667
33.6,22.5,32.55
81.95,82.25,79
88.3,85.2666666666667,82.6333333333333
137.166666666667,143.966666666667,145.6
105.733333333333,119.6,120.5
21.4,21.4,18.2
14.4,19.7,24
2711.76666666667,2444.2,2605.13333333333
66.5333333333333,65.1,61.8333333333333
950,846.3,933.5
86.3666666666667,113,134.866666666667
21.9,18,18.3
191.466666666667,175.466666666667,188.833333333333
64.4,56.1,68
23.9,22.3,27.4
23.7,23.2,25.9
324.033333333333,293.466666666667,320.433333333333
389.433333333333,231.066666666667,307.833333333333
76.9,83.8,75.1
259.233333333333,230.6,250.6
22.9,15,17.7
801.366666666667,769.566666666667,809.533333333333
35.4,25.8,35.7
163.066666666667,131.733333333333,169.8
653.7,553.966666666667,658.7
207.466666666667,209.4,211.833333333333
93.2333333333333,91.1666666666667,88.8666666666667
169.466666666667,157.466666666667,203.2
23.1,28.4,28.7
